tag,pattern,response,pattern_length,response_length
cancer_prevention,Are there any lifestyle changes to lower cancer risk?,"Preventing cancer involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet rich in fruits, vegetables, and whole grains.
2. Avoid tobacco and limit alcohol consumption.
3. Protect yourself from the sun and avoid excessive exposure to UV radiation.
4. Get regular exercise and stay physically active.
5. Follow recommended cancer screening guidelines and get vaccinated against viruses associated with cancer risk, such as HPV.",9,80
cancer_prevention,How can I lower my chances of getting cancer?,"Preventing cancer involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet rich in fruits, vegetables, and whole grains.
2. Avoid tobacco and limit alcohol consumption.
3. Protect yourself from the sun and avoid excessive exposure to UV radiation.
4. Get regular exercise and stay physically active.
5. Follow recommended cancer screening guidelines and get vaccinated against viruses associated with cancer risk, such as HPV.",9,80
cancer_prevention,What are the preventive measures against cancer?,"Preventing cancer involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet rich in fruits, vegetables, and whole grains.
2. Avoid tobacco and limit alcohol consumption.
3. Protect yourself from the sun and avoid excessive exposure to UV radiation.
4. Get regular exercise and stay physically active.
5. Follow recommended cancer screening guidelines and get vaccinated against viruses associated with cancer risk, such as HPV.",7,80
cancer_prevention,How do I avoid cancer?,"Preventing cancer involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet rich in fruits, vegetables, and whole grains.
2. Avoid tobacco and limit alcohol consumption.
3. Protect yourself from the sun and avoid excessive exposure to UV radiation.
4. Get regular exercise and stay physically active.
5. Follow recommended cancer screening guidelines and get vaccinated against viruses associated with cancer risk, such as HPV.",5,80
cancer_prevention,Tips to reduce cancer risk,"Preventing cancer involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet rich in fruits, vegetables, and whole grains.
2. Avoid tobacco and limit alcohol consumption.
3. Protect yourself from the sun and avoid excessive exposure to UV radiation.
4. Get regular exercise and stay physically active.
5. Follow recommended cancer screening guidelines and get vaccinated against viruses associated with cancer risk, such as HPV.",5,80
cancer_prevention,Can cancer be prevented?,"Preventing cancer involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet rich in fruits, vegetables, and whole grains.
2. Avoid tobacco and limit alcohol consumption.
3. Protect yourself from the sun and avoid excessive exposure to UV radiation.
4. Get regular exercise and stay physically active.
5. Follow recommended cancer screening guidelines and get vaccinated against viruses associated with cancer risk, such as HPV.",4,80
diabetes_general,What is diabetes?,Diabetes is a chronic disease characterized by high levels of sugar (glucose) in the blood. It occurs when the body doesn't produce enough insulin or doesn't use it effectively.,3,29
diabetes_general,Tell me about diabetes,Diabetes is a chronic disease characterized by high levels of sugar (glucose) in the blood. It occurs when the body doesn't produce enough insulin or doesn't use it effectively.,4,29
diabetes_general,Explain diabetes types,Diabetes is a chronic disease characterized by high levels of sugar (glucose) in the blood. It occurs when the body doesn't produce enough insulin or doesn't use it effectively.,3,29
diabetes_general,How does diabetes develop?,Diabetes is a chronic disease characterized by high levels of sugar (glucose) in the blood. It occurs when the body doesn't produce enough insulin or doesn't use it effectively.,4,29
diabetes_general,Can you explain diabetes?,Diabetes is a chronic disease characterized by high levels of sugar (glucose) in the blood. It occurs when the body doesn't produce enough insulin or doesn't use it effectively.,4,29
diabetes_general,What causes diabetes?,Diabetes is a chronic disease characterized by high levels of sugar (glucose) in the blood. It occurs when the body doesn't produce enough insulin or doesn't use it effectively.,3,29
diabetes_general,I want to know about diabetes,Diabetes is a chronic disease characterized by high levels of sugar (glucose) in the blood. It occurs when the body doesn't produce enough insulin or doesn't use it effectively.,6,29
diabetes_types,Tell me about type 1 diabetes,"Diabetes types include type 1 diabetes, type 2 diabetes, gestational diabetes, and others. Each type has specific characteristics and treatment approaches.",6,21
diabetes_types,What are the types of diabetes?,"Diabetes types include type 1 diabetes, type 2 diabetes, gestational diabetes, and others. Each type has specific characteristics and treatment approaches.",6,21
diabetes_types,Explain type 2 diabetes,"Diabetes types include type 1 diabetes, type 2 diabetes, gestational diabetes, and others. Each type has specific characteristics and treatment approaches.",4,21
diabetes_types,What are the subtypes of diabetes?,"Diabetes types include type 1 diabetes, type 2 diabetes, gestational diabetes, and others. Each type has specific characteristics and treatment approaches.",6,21
diabetes_types,Different types of diabetes?,"Diabetes types include type 1 diabetes, type 2 diabetes, gestational diabetes, and others. Each type has specific characteristics and treatment approaches.",4,21
diabetes_types,What kinds of diabetes exist?,"Diabetes types include type 1 diabetes, type 2 diabetes, gestational diabetes, and others. Each type has specific characteristics and treatment approaches.",5,21
diabetes_types,List diabetes types,"Diabetes types include type 1 diabetes, type 2 diabetes, gestational diabetes, and others. Each type has specific characteristics and treatment approaches.",3,21
diabetes_types,Tell me about type 1 vs type 2 diabetes,"Diabetes types include type 1 diabetes, type 2 diabetes, gestational diabetes, and others. Each type has specific characteristics and treatment approaches.",9,21
diabetes_symptoms,"Increased thirst, frequent urination, extreme hunger, unexplained weight loss, fatigue, irritability.","It seems like you may be experiencing symptoms related to diabetes. These symptoms can vary depending on the type of diabetes you have, whether it's type 1, type 2, or gestational diabetes. It's essential to monitor these symptoms and consult with a healthcare professional for proper diagnosis and management.",11,49
diabetes_symptoms,"Increased thirst, frequent urination, increased hunger, fatigue, blurred vision, slow-healing sores or frequent infections.","It seems like you may be experiencing symptoms related to diabetes. These symptoms can vary depending on the type of diabetes you have, whether it's type 1, type 2, or gestational diabetes. It's essential to monitor these symptoms and consult with a healthcare professional for proper diagnosis and management.",14,49
diabetes_symptoms,"Increased thirst, frequent urination, fatigue, nausea, blurred vision, frequent infections.","It seems like you may be experiencing symptoms related to diabetes. These symptoms can vary depending on the type of diabetes you have, whether it's type 1, type 2, or gestational diabetes. It's essential to monitor these symptoms and consult with a healthcare professional for proper diagnosis and management.",10,49
diabetes_symptoms,"Frequent urination, increased thirst, extreme hunger, unexplained weight loss, fatigue, blurred vision.","It seems like you may be experiencing symptoms related to diabetes. These symptoms can vary depending on the type of diabetes you have, whether it's type 1, type 2, or gestational diabetes. It's essential to monitor these symptoms and consult with a healthcare professional for proper diagnosis and management.",12,49
diabetes_symptoms,I'm always thirsty and tired,"It seems like you may be experiencing symptoms related to diabetes. These symptoms can vary depending on the type of diabetes you have, whether it's type 1, type 2, or gestational diabetes. It's essential to monitor these symptoms and consult with a healthcare professional for proper diagnosis and management.",5,49
diabetes_symptoms,What are signs of diabetes?,"It seems like you may be experiencing symptoms related to diabetes. These symptoms can vary depending on the type of diabetes you have, whether it's type 1, type 2, or gestational diabetes. It's essential to monitor these symptoms and consult with a healthcare professional for proper diagnosis and management.",5,49
diabetes_symptoms,I keep needing to pee a lot,"It seems like you may be experiencing symptoms related to diabetes. These symptoms can vary depending on the type of diabetes you have, whether it's type 1, type 2, or gestational diabetes. It's essential to monitor these symptoms and consult with a healthcare professional for proper diagnosis and management.",7,49
diabetes_prevention,How can I prevent diabetes?,"Preventing diabetes involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet low in processed foods and added sugars.
2. Get regular physical activity and exercise.
3. Monitor your blood sugar levels regularly, especially if you have risk factors for diabetes.
4. Avoid smoking and limit alcohol consumption.
5. Follow medical advice and take prescribed medications if you have prediabetes or are at high risk for diabetes.",5,82
diabetes_prevention,What are the ways to reduce the risk of diabetes?,"Preventing diabetes involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet low in processed foods and added sugars.
2. Get regular physical activity and exercise.
3. Monitor your blood sugar levels regularly, especially if you have risk factors for diabetes.
4. Avoid smoking and limit alcohol consumption.
5. Follow medical advice and take prescribed medications if you have prediabetes or are at high risk for diabetes.",10,82
diabetes_prevention,Are there any lifestyle changes to lower diabetes risk?,"Preventing diabetes involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet low in processed foods and added sugars.
2. Get regular physical activity and exercise.
3. Monitor your blood sugar levels regularly, especially if you have risk factors for diabetes.
4. Avoid smoking and limit alcohol consumption.
5. Follow medical advice and take prescribed medications if you have prediabetes or are at high risk for diabetes.",9,82
diabetes_prevention,How can I lower my chances of getting diabetes?,"Preventing diabetes involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet low in processed foods and added sugars.
2. Get regular physical activity and exercise.
3. Monitor your blood sugar levels regularly, especially if you have risk factors for diabetes.
4. Avoid smoking and limit alcohol consumption.
5. Follow medical advice and take prescribed medications if you have prediabetes or are at high risk for diabetes.",9,82
diabetes_prevention,What are the preventive measures against diabetes?,"Preventing diabetes involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet low in processed foods and added sugars.
2. Get regular physical activity and exercise.
3. Monitor your blood sugar levels regularly, especially if you have risk factors for diabetes.
4. Avoid smoking and limit alcohol consumption.
5. Follow medical advice and take prescribed medications if you have prediabetes or are at high risk for diabetes.",7,82
diabetes_prevention,How do I avoid diabetes?,"Preventing diabetes involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet low in processed foods and added sugars.
2. Get regular physical activity and exercise.
3. Monitor your blood sugar levels regularly, especially if you have risk factors for diabetes.
4. Avoid smoking and limit alcohol consumption.
5. Follow medical advice and take prescribed medications if you have prediabetes or are at high risk for diabetes.",5,82
diabetes_prevention,Tips to reduce diabetes risk,"Preventing diabetes involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet low in processed foods and added sugars.
2. Get regular physical activity and exercise.
3. Monitor your blood sugar levels regularly, especially if you have risk factors for diabetes.
4. Avoid smoking and limit alcohol consumption.
5. Follow medical advice and take prescribed medications if you have prediabetes or are at high risk for diabetes.",5,82
diabetes_prevention,Can diabetes be prevented?,"Preventing diabetes involves making healthy lifestyle choices and taking proactive measures. Here are some key prevention methods:
1. Maintain a healthy weight and adopt a balanced diet low in processed foods and added sugars.
2. Get regular physical activity and exercise.
3. Monitor your blood sugar levels regularly, especially if you have risk factors for diabetes.
4. Avoid smoking and limit alcohol consumption.
5. Follow medical advice and take prescribed medications if you have prediabetes or are at high risk for diabetes.",4,82
alzheimers_general,What is Alzheimer's disease?,"Alzheimer's disease is a progressive disorder that causes brain cells to degenerate and die, resulting in memory loss and decline in cognitive abilities.",4,23
alzheimers_general,Tell me about Alzheimer's,"Alzheimer's disease is a progressive disorder that causes brain cells to degenerate and die, resulting in memory loss and decline in cognitive abilities.",4,23
alzheimers_general,Explain Alzheimer's types,"Alzheimer's disease is a progressive disorder that causes brain cells to degenerate and die, resulting in memory loss and decline in cognitive abilities.",3,23
alzheimers_general,How does Alzheimer's develop?,"Alzheimer's disease is a progressive disorder that causes brain cells to degenerate and die, resulting in memory loss and decline in cognitive abilities.",4,23
alzheimers_general,Can you explain Alzheimer's?,"Alzheimer's disease is a progressive disorder that causes brain cells to degenerate and die, resulting in memory loss and decline in cognitive abilities.",4,23
alzheimers_general,What causes Alzheimer's disease?,"Alzheimer's disease is a progressive disorder that causes brain cells to degenerate and die, resulting in memory loss and decline in cognitive abilities.",4,23
alzheimers_general,I want to know about Alzheimer's,"Alzheimer's disease is a progressive disorder that causes brain cells to degenerate and die, resulting in memory loss and decline in cognitive abilities.",6,23
alzheimers_types,Tell me about early-onset Alzheimer's,"Alzheimer's disease may be categorized based on age of onset, such as early-onset Alzheimer's and late-onset Alzheimer's. It can also be classified based on the progression and symptoms.",5,28
alzheimers_types,What are the types of Alzheimer's?,"Alzheimer's disease may be categorized based on age of onset, such as early-onset Alzheimer's and late-onset Alzheimer's. It can also be classified based on the progression and symptoms.",6,28
alzheimers_types,Explain late-onset Alzheimer's,"Alzheimer's disease may be categorized based on age of onset, such as early-onset Alzheimer's and late-onset Alzheimer's. It can also be classified based on the progression and symptoms.",3,28
alzheimers_types,What are the subtypes of Alzheimer's?,"Alzheimer's disease may be categorized based on age of onset, such as early-onset Alzheimer's and late-onset Alzheimer's. It can also be classified based on the progression and symptoms.",6,28
alzheimers_types,Different types of Alzheimer's disease?,"Alzheimer's disease may be categorized based on age of onset, such as early-onset Alzheimer's and late-onset Alzheimer's. It can also be classified based on the progression and symptoms.",5,28
alzheimers_types,What kinds of Alzheimer's are there?,"Alzheimer's disease may be categorized based on age of onset, such as early-onset Alzheimer's and late-onset Alzheimer's. It can also be classified based on the progression and symptoms.",6,28
alzheimers_types,List Alzheimer's types,"Alzheimer's disease may be categorized based on age of onset, such as early-onset Alzheimer's and late-onset Alzheimer's. It can also be classified based on the progression and symptoms.",3,28
alzheimers_types,Tell me about early onset Alzheimer's,"Alzheimer's disease may be categorized based on age of onset, such as early-onset Alzheimer's and late-onset Alzheimer's. It can also be classified based on the progression and symptoms.",6,28
alzheimers_symptoms,"Memory loss - Forgetting recently learned information or important dates, relying on memory aids or family members for things they used to handle on their own.","It seems like you may be experiencing symptoms related to Alzheimer's disease. These symptoms typically include memory loss, confusion, difficulty with problem-solving or completing familiar tasks, changes in mood or personality, and withdrawal from social activities. Early detection and management are crucial for improving the quality of life of individuals with Alzheimer's.",26,52
alzheimers_symptoms,"Confusion - Disorientation in time and place, not recognizing familiar faces or places, forgetting the purpose of familiar objects.","It seems like you may be experiencing symptoms related to Alzheimer's disease. These symptoms typically include memory loss, confusion, difficulty with problem-solving or completing familiar tasks, changes in mood or personality, and withdrawal from social activities. Early detection and management are crucial for improving the quality of life of individuals with Alzheimer's.",19,52
alzheimers_symptoms,"Difficulty with problem-solving or completing familiar tasks - Struggling to follow a familiar recipe, difficulty managing bills or following a plan.","It seems like you may be experiencing symptoms related to Alzheimer's disease. These symptoms typically include memory loss, confusion, difficulty with problem-solving or completing familiar tasks, changes in mood or personality, and withdrawal from social activities. Early detection and management are crucial for improving the quality of life of individuals with Alzheimer's.",21,52
alzheimers_symptoms,"Changes in mood or personality - Becoming suspicious, depressed, fearful, or anxious, experiencing sudden mood swings or unexplained changes in behavior.","It seems like you may be experiencing symptoms related to Alzheimer's disease. These symptoms typically include memory loss, confusion, difficulty with problem-solving or completing familiar tasks, changes in mood or personality, and withdrawal from social activities. Early detection and management are crucial for improving the quality of life of individuals with Alzheimer's.",21,52
alzheimers_symptoms,"Withdrawal from social activities - Avoiding social interactions or neglecting hobbies and activities they once enjoyed, preferring to be alone or experiencing difficulty in social situations.","It seems like you may be experiencing symptoms related to Alzheimer's disease. These symptoms typically include memory loss, confusion, difficulty with problem-solving or completing familiar tasks, changes in mood or personality, and withdrawal from social activities. Early detection and management are crucial for improving the quality of life of individuals with Alzheimer's.",26,52
alzheimers_symptoms,I keep forgetting things lately,"It seems like you may be experiencing symptoms related to Alzheimer's disease. These symptoms typically include memory loss, confusion, difficulty with problem-solving or completing familiar tasks, changes in mood or personality, and withdrawal from social activities. Early detection and management are crucial for improving the quality of life of individuals with Alzheimer's.",5,52
alzheimers_symptoms,What are early signs of Alzheimer's?,"It seems like you may be experiencing symptoms related to Alzheimer's disease. These symptoms typically include memory loss, confusion, difficulty with problem-solving or completing familiar tasks, changes in mood or personality, and withdrawal from social activities. Early detection and management are crucial for improving the quality of life of individuals with Alzheimer's.",6,52
alzheimers_symptoms,I'm getting confused about familiar places,"It seems like you may be experiencing symptoms related to Alzheimer's disease. These symptoms typically include memory loss, confusion, difficulty with problem-solving or completing familiar tasks, changes in mood or personality, and withdrawal from social activities. Early detection and management are crucial for improving the quality of life of individuals with Alzheimer's.",6,52
alzheimers_prevention,How can I prevent Alzheimer's disease?,"While there's no proven way to prevent Alzheimer's disease, you can reduce your risk through healthy lifestyle choices and brain-healthy habits. Here are some key prevention methods:
1. Stay mentally and socially active by engaging in stimulating activities and maintaining social connections.
2. Follow a heart-healthy diet rich in fruits, vegetables, and omega-3 fatty acids.
3. Exercise regularly, including both aerobic and strength training.
4. Get quality sleep and manage stress effectively.
5. Stay mentally and emotionally resilient, and seek help for depression or anxiety if needed.",6,87
alzheimers_prevention,What are the ways to reduce the risk of Alzheimer's?,"While there's no proven way to prevent Alzheimer's disease, you can reduce your risk through healthy lifestyle choices and brain-healthy habits. Here are some key prevention methods:
1. Stay mentally and socially active by engaging in stimulating activities and maintaining social connections.
2. Follow a heart-healthy diet rich in fruits, vegetables, and omega-3 fatty acids.
3. Exercise regularly, including both aerobic and strength training.
4. Get quality sleep and manage stress effectively.
5. Stay mentally and emotionally resilient, and seek help for depression or anxiety if needed.",10,87
alzheimers_prevention,Are there any lifestyle changes to lower Alzheimer's risk?,"While there's no proven way to prevent Alzheimer's disease, you can reduce your risk through healthy lifestyle choices and brain-healthy habits. Here are some key prevention methods:
1. Stay mentally and socially active by engaging in stimulating activities and maintaining social connections.
2. Follow a heart-healthy diet rich in fruits, vegetables, and omega-3 fatty acids.
3. Exercise regularly, including both aerobic and strength training.
4. Get quality sleep and manage stress effectively.
5. Stay mentally and emotionally resilient, and seek help for depression or anxiety if needed.",9,87
alzheimers_prevention,How can I lower my chances of getting Alzheimer's?,"While there's no proven way to prevent Alzheimer's disease, you can reduce your risk through healthy lifestyle choices and brain-healthy habits. Here are some key prevention methods:
1. Stay mentally and socially active by engaging in stimulating activities and maintaining social connections.
2. Follow a heart-healthy diet rich in fruits, vegetables, and omega-3 fatty acids.
3. Exercise regularly, including both aerobic and strength training.
4. Get quality sleep and manage stress effectively.
5. Stay mentally and emotionally resilient, and seek help for depression or anxiety if needed.",9,87
alzheimers_prevention,What are the preventive measures against Alzheimer's?,"While there's no proven way to prevent Alzheimer's disease, you can reduce your risk through healthy lifestyle choices and brain-healthy habits. Here are some key prevention methods:
1. Stay mentally and socially active by engaging in stimulating activities and maintaining social connections.
2. Follow a heart-healthy diet rich in fruits, vegetables, and omega-3 fatty acids.
3. Exercise regularly, including both aerobic and strength training.
4. Get quality sleep and manage stress effectively.
5. Stay mentally and emotionally resilient, and seek help for depression or anxiety if needed.",7,87
alzheimers_prevention,How do I avoid Alzheimer's?,"While there's no proven way to prevent Alzheimer's disease, you can reduce your risk through healthy lifestyle choices and brain-healthy habits. Here are some key prevention methods:
1. Stay mentally and socially active by engaging in stimulating activities and maintaining social connections.
2. Follow a heart-healthy diet rich in fruits, vegetables, and omega-3 fatty acids.
3. Exercise regularly, including both aerobic and strength training.
4. Get quality sleep and manage stress effectively.
5. Stay mentally and emotionally resilient, and seek help for depression or anxiety if needed.",5,87
alzheimers_prevention,Tips to reduce Alzheimer's risk,"While there's no proven way to prevent Alzheimer's disease, you can reduce your risk through healthy lifestyle choices and brain-healthy habits. Here are some key prevention methods:
1. Stay mentally and socially active by engaging in stimulating activities and maintaining social connections.
2. Follow a heart-healthy diet rich in fruits, vegetables, and omega-3 fatty acids.
3. Exercise regularly, including both aerobic and strength training.
4. Get quality sleep and manage stress effectively.
5. Stay mentally and emotionally resilient, and seek help for depression or anxiety if needed.",5,87
alzheimers_prevention,Can Alzheimer's be prevented?,"While there's no proven way to prevent Alzheimer's disease, you can reduce your risk through healthy lifestyle choices and brain-healthy habits. Here are some key prevention methods:
1. Stay mentally and socially active by engaging in stimulating activities and maintaining social connections.
2. Follow a heart-healthy diet rich in fruits, vegetables, and omega-3 fatty acids.
3. Exercise regularly, including both aerobic and strength training.
4. Get quality sleep and manage stress effectively.
5. Stay mentally and emotionally resilient, and seek help for depression or anxiety if needed.",4,87
hypertension_general,What is hypertension?,"Hypertension, or high blood pressure, is a condition where the force of the blood against the artery walls is consistently too high. It can lead to serious health problems if left untreated.",3,32
hypertension_general,Tell me about hypertension,"Hypertension, or high blood pressure, is a condition where the force of the blood against the artery walls is consistently too high. It can lead to serious health problems if left untreated.",4,32
hypertension_general,Explain high blood pressure,"Hypertension, or high blood pressure, is a condition where the force of the blood against the artery walls is consistently too high. It can lead to serious health problems if left untreated.",4,32
hypertension_general,How does hypertension develop?,"Hypertension, or high blood pressure, is a condition where the force of the blood against the artery walls is consistently too high. It can lead to serious health problems if left untreated.",4,32
hypertension_general,Can you explain hypertension?,"Hypertension, or high blood pressure, is a condition where the force of the blood against the artery walls is consistently too high. It can lead to serious health problems if left untreated.",4,32
hypertension_general,What causes high blood pressure?,"Hypertension, or high blood pressure, is a condition where the force of the blood against the artery walls is consistently too high. It can lead to serious health problems if left untreated.",5,32
hypertension_general,I want to know about hypertension,"Hypertension, or high blood pressure, is a condition where the force of the blood against the artery walls is consistently too high. It can lead to serious health problems if left untreated.",6,32
hypertension_types,Tell me about primary hypertension,"Hypertension may be classified as primary hypertension, which has no identifiable cause, and secondary hypertension, which is caused by an underlying condition such as kidney disease or hormonal disorders.",5,29
hypertension_types,What are the types of hypertension?,"Hypertension may be classified as primary hypertension, which has no identifiable cause, and secondary hypertension, which is caused by an underlying condition such as kidney disease or hormonal disorders.",6,29
hypertension_types,Explain secondary hypertension,"Hypertension may be classified as primary hypertension, which has no identifiable cause, and secondary hypertension, which is caused by an underlying condition such as kidney disease or hormonal disorders.",3,29
hypertension_types,What are the subtypes of hypertension?,"Hypertension may be classified as primary hypertension, which has no identifiable cause, and secondary hypertension, which is caused by an underlying condition such as kidney disease or hormonal disorders.",6,29
hypertension_types,Different types of high blood pressure?,"Hypertension may be classified as primary hypertension, which has no identifiable cause, and secondary hypertension, which is caused by an underlying condition such as kidney disease or hormonal disorders.",6,29
